KODE,AIRLINES,WAKTU,HARGA
301,LION AIR,05.30 - 08.00,522900
302,LION AIR,09.30 - 12.00,522900
303,LION AIR,13.30 - 16.00,522900
304,LION AIR,17.50 - 20.20,522900
305,LION AIR,20.30 - 23.00,522900
306,CITILINK,13.05 - 15.30,1144400
307,SRIWIJAYA,06.00 - 08.35,1008000
308,BATIK AIR,11.35 - 14.10,1174100
309,BATIK AIR,20.50 - 23.20,1245600
