KODE,AIRLINES,WAKTU,HARGA
101,LION AIR,06.50 - 08.55,457400
102,LION AIR,10.20 - 12.20,457400
103,LION AIR,12.00 - 14.00,457400
104,LION AIR,14.55 - 16.50,457400
105,LION AIR,20.20 - 22.20,457400
106,CITILINK,07.55 - 09.45,582300
107,CITILINK,12.55 - 14.55,607600
108,BATIK AIR,15.25 - 17.25,832400
109,BATIK AIR,20.00 - 22.00,832400
